lead_time,cloud_error_pp,ghi_error_wm2
72,-16.0,-0.20000000000000018
24,0.0,-16.299999999999997
48,0.0,-43.3
72,0.0,-5.299999999999997
24,1.0,-33.69999999999999
48,1.0,-87.69999999999999
72,-78.0,40.30000000000001
24,6.0,-105.70000000000005
48,6.0,-351.70000000000005
72,6.0,-59.700000000000045
24,77.0,-145.70000000000005
48,77.0,-396.70000000000005
72,77.0,-108.70000000000005
24,88.0,-425.5
48,88.0,-387.5
72,88.0,-319.5
24,8.0,-38.299999999999955
48,8.0,-94.29999999999995
72,8.0,-52.299999999999955
24,0.0,71.80000000000001
48,0.0,92.80000000000001
72,0.0,-97.19999999999999
24,-7.0,373.3
48,-22.0,401.3
72,-1.0,193.3
24,-27.0,204.5
48,-13.0,202.5
72,-22.0,224.5
24,-5.0,11.300000000000011
48,0.0,18.30000000000001
72,-2.0,-25.69999999999999
24,84.0,-1.0
48,84.0,-1.0
72,84.0,-1.0
24,89.0,-61.19999999999999
48,89.0,-65.19999999999999
72,89.0,-54.19999999999999
24,14.0,-83.5
48,14.0,-96.5
72,14.0,-106.5
24,5.0,-74.29999999999995
48,5.0,-120.29999999999995
72,5.0,-136.29999999999995
24,1.0,-30.5
48,1.0,-110.5
72,1.0,-124.5
24,0.0,-58.0
48,0.0,-290.0
72,0.0,-142.0
24,1.0,-113.29999999999995
48,1.0,-303.29999999999995
72,1.0,-270.29999999999995
24,0.0,-93.0
48,0.0,-96.0
72,0.0,-222.0
24,0.0,-52.799999999999955
48,0.0,-26.799999999999955
72,0.0,-80.79999999999995
24,0.0,-45.30000000000001
48,0.0,-24.30000000000001
72,0.0,-83.30000000000001
24,0.0,-110.30000000000001
48,0.0,-60.30000000000001
72,0.0,-87.30000000000001
24,0.0,2.0
48,0.0,1.0
72,0.0,0.0
24,0.0,-22.5
48,0.0,-14.5
72,0.0,-26.5
24,0.0,-80.2
48,0.0,-107.2
72,0.0,-111.2
24,0.0,-99.69999999999999
48,0.0,-108.69999999999999
72,0.0,-103.69999999999999
24,0.0,-124.30000000000001
48,0.0,-137.3
72,0.0,-135.3
24,0.0,-118.69999999999999
48,0.0,-135.7
72,0.0,-104.69999999999999
24,0.0,-105.19999999999999
48,0.0,-120.19999999999999
72,0.0,-94.19999999999999
24,0.0,-112.19999999999999
48,0.0,-118.19999999999999
72,0.0,-98.19999999999999
24,0.0,-114.5
48,0.0,-120.5
72,0.0,-95.5
24,0.0,-79.3
48,0.0,-81.3
72,0.0,-68.3
24,0.0,-57.2
48,0.0,-56.2
72,0.0,-56.2
24,0.0,-15.3
48,0.0,-15.3
72,0.0,-15.3
24,0.0,-3.5
48,0.0,-4.5
72,0.0,-4.5
24,0.0,-45.3
48,0.0,-50.3
72,0.0,-49.3
24,0.0,-105.8
48,0.0,-115.8
72,0.0,-114.8
24,0.0,-88.0
48,0.0,-97.0
72,0.0,-92.0
24,0.0,-79.7
48,0.0,-88.7
72,0.0,-90.7
24,0.0,-68.2
48,0.0,-79.2
72,0.0,-77.2
24,0.0,-69.3
48,0.0,-68.3
72,0.0,-65.3
24,0.0,-58.5
48,0.0,-54.5
72,0.0,-53.5
24,0.0,-100.3
48,0.0,-103.3
72,0.0,-101.3
24,0.0,-100.2
48,0.0,-103.2
72,0.0,-102.2
24,0.0,-54.0
48,0.0,-56.0
72,0.0,-53.0
24,0.0,-13.2
48,0.0,-14.2
72,0.0,-12.2
24,0.0,-0.5
48,0.0,-4.5
72,-31.0,0.5
24,0.0,-43.0
48,0.0,-50.0
72,0.0,-43.0
24,6.0,-148.2
48,6.0,-126.19999999999999
72,6.0,-114.19999999999999
24,1.0,-288.8
48,1.0,-87.80000000000001
72,1.0,-70.80000000000001
24,0.0,18.5
48,0.0,-20.5
72,0.0,52.5
24,0.0,-3.6999999999999886
48,0.0,105.30000000000001
72,0.0,127.30000000000001
24,0.0,78.79999999999995
48,0.0,-17.200000000000045
72,0.0,6.7999999999999545
24,0.0,-126.0
48,0.0,-240.0
72,0.0,-323.0
24,0.0,-213.20000000000005
48,0.0,-305.20000000000005
72,0.0,-215.20000000000005
24,0.0,-133.2
48,0.0,-150.2
72,0.0,-97.19999999999999
24,0.0,11.300000000000011
48,0.0,-23.69999999999999
72,0.0,-42.69999999999999
24,0.0,5.200000000000003
48,0.0,-4.799999999999997
72,0.0,1.2000000000000028
24,0.0,-1.0
48,0.0,3.0
72,0.0,2.0
24,27.0,-29.799999999999997
48,27.0,-22.799999999999997
72,27.0,-47.8
24,100.0,-108.30000000000001
48,100.0,-128.3
72,100.0,-134.3
24,59.0,-38.0
48,100.0,-194.0
72,100.0,-214.0
24,100.0,-47.700000000000045
48,100.0,-167.70000000000005
72,100.0,-209.70000000000005
24,8.0,-35.200000000000045
48,100.0,-159.20000000000005
72,100.0,-216.20000000000005
