lead_time,cloud_cover_fcst,kt_fcst,ghi_fcst,ghi_clear_sky
72,7.0,1.336707068008914,386.0,288.7693266819967
24,5.0,1.5,186.0,83.3524126259275
48,0.0,1.5,190.0,83.3524126259275
72,6.0,1.5,190.0,83.3524126259275
24,0.0,0.4484330958865205,69.0,153.86910697033161
48,0.0,0.4484330958865205,69.0,153.86910697033161
72,0.0,0.4484330958865205,69.0,153.86910697033161
24,0.0,0.7363099022263625,264.0,358.54468234333063
48,0.0,0.7390989548863109,265.0,358.54468234333063
72,0.0,0.7390989548863109,265.0,358.54468234333063
24,0.0,0.8607829282897196,456.0,529.7502831591021
48,0.0,0.862670610150004,457.0,529.7502831591021
72,0.0,0.862670610150004,457.0,529.7502831591021
24,0.0,0.9349458372112422,606.0,648.1658892750169
48,0.0,0.9364886521241321,607.0,648.1658892750169
72,0.0,0.9380314670370219,608.0,648.1658892750169
24,0.0,0.9901912693996243,697.0,703.9044087134873
48,0.0,0.9930325642902975,699.0,703.9044087134873
72,0.0,0.991611916844961,698.0,703.9044087134873
24,0.0,1.043804288945874,723.0,692.6585832772822
48,0.0,1.043804288945874,723.0,692.6585832772822
72,0.0,1.0423605762364052,722.0,692.6585832772822
24,0.0,1.0970473274851498,675.0,615.2879489231855
48,0.0,1.103548348685062,679.0,615.2879489231855
72,0.0,1.0986725827851278,676.0,615.2879489231855
24,0.0,1.1739587026875034,561.0,477.87030217989945
48,0.0,1.186514410737637,567.0,477.87030217989945
72,0.0,1.1802365567125703,564.0,477.87030217989945
24,0.0,1.3501052018532835,395.0,292.5697934189019
48,0.0,1.3671951411172492,400.0,292.5697934189019
72,0.0,1.3671951411172492,400.0,292.5697934189019
24,0.0,1.5,198.0,86.35173609041115
48,0.0,1.5,200.0,86.35173609041115
72,0.0,1.5,201.0,86.35173609041115
24,0.0,0.4706135766246298,74.0,157.24153249200413
48,0.0,0.4706135766246298,74.0,157.24153249200413
72,0.0,0.4706135766246298,74.0,157.24153249200413
24,0.0,0.7532752029042586,273.0,362.41734620686606
48,0.0,0.7505159530767705,272.0,362.41734620686606
72,0.0,0.7505159530767705,272.0,362.41734620686606
24,0.0,0.8728685915397213,466.0,533.8718846304071
48,0.0,0.8691223744086496,464.0,533.8718846304071
72,5.0,0.8728685915397213,466.0,533.8718846304071
24,0.0,0.9456812477703915,617.0,652.4397110069435
48,5.0,0.9395504131008914,613.0,652.4397110069435
72,5.0,0.9426158304356415,615.0,652.4397110069435
24,0.0,0.9996470515995887,708.0,708.2499756960133
48,0.0,0.9982351207357474,707.0,708.2499756960133
72,6.0,0.9996470515995887,708.0,708.2499756960133
24,0.0,1.050220508497894,732.0,696.9964822406321
48,0.0,1.0487857810272685,731.0,696.9964822406321
72,5.0,1.050220508497894,732.0,696.9964822406321
24,0.0,1.1040476180114516,684.0,619.5384952978588
48,5.0,1.1008194086020615,682.0,619.5384952978588
72,0.0,1.1056617227161467,685.0,619.5384952978588
24,0.0,1.1847697827447323,571.0,481.95017151532664
48,10.0,1.182694879447456,570.0,481.95017151532664
72,5.0,1.1868446860420085,572.0,481.95017151532664
24,0.0,1.359828498874245,403.0,296.36090163842704
48,6.0,1.359828498874245,403.0,296.36090163842704
72,6.0,1.3632027631394417,404.0,296.36090163842704
24,5.0,1.5,203.0,89.3622216733431
48,6.0,1.5,203.0,89.3622216733431
72,6.0,1.5,202.0,89.3622216733431
24,97.0,0.3920356881592685,63.0,160.69965542118098
48,100.0,0.24891154803763077,40.0,160.69965542118098
72,100.0,0.18668366102822306,30.0,160.69965542118098
24,100.0,0.3821357866776258,140.0,366.36191867082476
48,100.0,0.13920660800399226,51.0,366.36191867082476
72,100.0,0.0818862400023484,30.0,366.36191867082476
24,100.0,0.5482756309632815,295.0,538.050541260982
48,96.0,0.6672235644604002,359.0,538.050541260982
72,100.0,0.13195786372336604,71.0,538.050541260982
24,100.0,0.7202080491962685,473.0,656.7546704425956
48,100.0,0.13094691803568517,86.0,656.7546704425956
72,100.0,0.36695589821628055,241.0,656.7546704425956
24,100.0,0.7830249613692225,558.0,712.6209604151869
48,100.0,0.2455723445154372,175.0,712.6209604151869
72,100.0,0.11787472536740984,84.0,712.6209604151869
24,73.0,0.9724166246025486,682.0,701.3454755349856
48,100.0,0.14258308278629744,100.0,701.3454755349856
72,100.0,0.0727173722210117,51.0,701.3454755349856
24,9.0,1.0420201603111185,650.0,623.7883150033564
48,100.0,0.184357412978121,115.0,623.7883150033564
72,100.0,0.21641957175692464,135.0,623.7883150033564
24,87.0,0.617257150513927,300.0,486.021101173507
48,76.0,1.0863725849045116,528.0,486.021101173507
72,100.0,0.1131638109275533,55.0,486.021101173507
24,100.0,0.12660738213835937,38.0,300.1404764729497
48,38.0,1.1894430374577447,357.0,300.1404764729497
72,100.0,0.25987831070505346,78.0,300.1404764729497
24,82.0,1.4938097449858962,138.0,92.38124229889993
48,100.0,0.3355659572069767,31.0,92.38124229889993
72,100.0,0.5737095397409602,53.0,92.38124229889993
24,0.0,0.4383782238105291,72.0,164.24173485204645
48,41.0,0.43228963736871623,71.0,164.24173485204645
72,87.0,0.4079352916014646,67.0,164.24173485204645
24,0.0,0.6992895355571717,259.0,370.375912737829
48,48.0,0.529192080962184,196.0,370.375912737829
72,13.0,0.6830897779766967,253.0,370.375912737829
24,6.0,0.8169159629205044,443.0,542.2834417585119
48,77.0,0.41122406259880917,223.0,542.2834417585119
72,16.0,0.8076956924586477,438.0,542.2834417585119
24,100.0,0.8395000070526559,555.0,661.1077967092724
48,95.0,0.540002707239276,357.0,661.1077967092724
72,5.0,0.8818531605616188,583.0,661.1077967092724
24,100.0,0.8061205324765599,578.0,717.0143628822739
48,97.0,0.5759996192263309,413.0,717.0143628822739
72,6.0,0.9372197194191146,672.0,717.0143628822739
24,100.0,0.8941442910430023,631.0,705.702654841033
48,100.0,0.8020375098737549,566.0,705.702654841033
72,5.0,0.9834170174070421,694.0,705.702654841033
24,100.0,0.8757477868126592,550.0,628.034701636827
48,100.0,0.9028163547686868,567.0,628.034701636827
72,14.0,1.031790119735642,648.0,628.034701636827
24,100.0,1.0079972989376844,494.0,490.0806783119561
48,100.0,0.9508638487954676,466.0,490.0806783119561
72,92.0,1.095737954513232,537.0,490.0806783119561
24,100.0,0.9838554466103697,299.0,303.90643364340815
48,100.0,1.0496651754806285,319.0,303.90643364340815
72,100.0,1.135217823011965,345.0,303.90643364340815
24,100.0,1.5,157.0,95.40628912488773
48,100.0,1.5,147.0,95.40628912488773
72,100.0,1.5,166.0,95.40628912488773
24,100.0,0.03575742903661761,6.0,167.7972986775885
48,100.0,0.01191914301220587,2.0,167.7972986775885
72,100.0,0.01191914301220587,2.0,167.7972986775885
24,100.0,0.013355782439651569,5.0,374.3696801436099
48,100.0,0.008013469463790942,3.0,374.3696801436099
72,100.0,0.026711564879303137,10.0,374.3696801436099
24,100.0,0.031108556980028023,17.0,546.4734352967306
48,100.0,0.018299151164722364,10.0,546.4734352967306
72,100.0,0.04940770814475039,27.0,546.4734352967306
24,100.0,0.03456575030813815,23.0,665.3985461031606
48,100.0,0.024045739344791758,16.0,665.3985461031606
72,100.0,0.04358290256243506,29.0,665.3985461031606
24,100.0,0.029112953037967907,21.0,721.3284056966901
48,100.0,0.04852158839661318,35.0,721.3284056966901
72,100.0,0.03743093962024445,27.0,721.3284056966901
24,100.0,0.10986432173078187,78.0,709.9666094615856
48,100.0,0.08451101671598606,60.0,709.9666094615856
72,100.0,0.10563877089498257,75.0,709.9666094615856
24,100.0,0.24834765884123478,157.0,632.1782968784414
48,100.0,0.31478461216181985,199.0,632.1782968784414
72,100.0,0.2151291821809422,136.0,632.1782968784414
24,100.0,0.5647383215787408,279.0,494.034120475565
48,100.0,0.7995399176473212,395.0,494.034120475565
72,100.0,0.5829556867909582,288.0,494.034120475565
24,100.0,0.9591190000328601,295.0,307.5739298146456
48,100.0,1.0761640305453446,331.0,307.5739298146456
72,100.0,0.6697576745992175,206.0,307.5739298146456
24,100.0,1.5,161.0,98.37963995820742
48,100.0,1.5,149.0,98.37963995820742
72,100.0,1.4942116078331549,147.0,98.37963995820742
24,11.0,0.5135297853234704,88.0,171.36299103774311
48,100.0,0.4726808251272852,81.0,171.36299103774311
72,33.0,0.5135297853234704,88.0,171.36299103774311
24,43.0,0.7691491779329274,291.0,378.3401300409064
48,100.0,0.6264204645020749,237.0,378.3401300409064
72,14.0,0.7823647995468952,296.0,378.3401300409064
24,100.0,0.8517710898240219,469.0,550.6174201062595
48,100.0,0.7573316512934268,417.0,550.6174201062595
72,76.0,0.8426903745806955,464.0,550.6174201062595
24,100.0,0.9109592322757907,610.0,669.6238189233522
48,100.0,0.8452506974886844,566.0,669.6238189233522
72,100.0,0.9378399965068795,628.0,669.6238189233522
