solar_bin,lead,month,site,n,n_valid,median,p90,p95,p99,max,p_gt_1,p_gt_1_2,p_gt_1_5,p_gt_2,p_gt_3,p_gt_5
>50,D+1,2024-06,suqian_1,179.0,179.0,0.9802213590216736,1.0987541398066754,1.1229552694794507,1.1619006958093197,1.1664707967873127,0.44692737430167595,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,suzhou_1,172.0,172.0,0.6812853343473679,1.0354536773219478,1.080216989235382,1.109866232809635,1.1242436282965638,0.19767441860465115,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,taizhou_1,162.0,162.0,0.8616789464058621,1.0540216973252228,1.0752715016629888,1.1030920813816225,1.1232986781842842,0.22839506172839505,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,taizhou_2,154.0,154.0,0.8757402654126123,1.049365011350841,1.0761766705497426,1.114920660623328,1.1394697917308103,0.24675324675324675,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,wuxi_1,153.0,153.0,0.45095984191646354,1.057281131638472,1.0704730362430197,1.1082441046968348,1.1344816611070987,0.22875816993464052,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,xuzhou_1,180.0,180.0,0.9908470743679567,1.0992318803434986,1.1370509326784997,1.164700250209826,1.1887841256953444,0.4444444444444444,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,xuzhou_2,180.0,180.0,0.9955727645534451,1.1217309374193296,1.1440107082121997,1.176573963752216,1.1847403234697316,0.48333333333333334,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,yancheng_1,161.0,161.0,0.9405212126517369,1.0749223073911676,1.0948619548022558,1.137476129283363,1.148862659101738,0.32919254658385094,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,yancheng_2,150.0,150.0,0.8585777994512044,1.0577453423346896,1.0833213848629948,1.1214509255402256,1.1570250504851252,0.26666666666666666,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,yancheng_3,162.0,162.0,0.9199610889903427,1.048097103013843,1.0816634615186398,1.117230188013737,1.1218288833794126,0.24074074074074073,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-07,changzhou_1,174.0,174.0,0.8752871057813907,1.0367236391327264,1.062527997147644,1.088516355633667,1.126737740962297,0.22988505747126436,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-07,huai_an_1,176.0,176.0,0.8448482311663242,1.0182810336389623,1.058776008012336,1.0983116542812081,1.1054768885841744,0.14772727272727273,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-07,huai_an_2,175.0,175.0,0.7859023708921281,1.0383650413058256,1.0633383218807317,1.1064993671011965,1.113662646903873,0.17142857142857143,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-07,huai_an_3,183.0,183.0,0.8155614972386482,1.0506714017879135,1.0698070326651536,1.1117137525395624,1.126625546915244,0.17486338797814208,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-07,lianyungang_1,180.0,180.0,0.8313443543127967,1.0368352404632728,1.0686059374980257,1.1196142318291067,1.135759524214039,0.17222222222222222,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-07,lianyungang_2,173.0,173.0,0.8202550465587345,1.030589345405309,1.0580834206522503,1.1124386714064143,1.1213721484265957,0.17341040462427745,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-07,nanjing_1,184.0,184.0,0.7546015807625623,1.0559971759618645,1.0777562389235573,1.125696242565611,1.1337429455611596,0.1793478260869565,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-07,nanjing_2,181.0,181.0,0.866840518859187,1.05139075302072,1.0793951792036922,1.1333033425138272,1.140812557244098,0.24861878453038674,0.0,0.0,0.0,0.0,0.0
