lead,month,daylight,site,n,p_cloud_eq_0,p_cloud_eq_100,p_cloud_between,p_cloud_outside_0_100,unique_values
D+3,2025-05,night,suzhou_1,325.0,0.16615384615384615,0.6646153846153846,0.16923076923076924,0.0,22.0
D+3,2025-05,night,taizhou_1,325.0,0.18769230769230769,0.6430769230769231,0.16307692307692306,0.006153846153846154,26.0
D+3,2025-05,night,taizhou_2,324.0,0.1882716049382716,0.6388888888888888,0.16666666666666666,0.006172839506172839,28.0
D+3,2025-05,night,wuxi_1,333.0,0.18618618618618618,0.6636636636636637,0.15015015015015015,0.0,23.0
D+3,2025-05,night,xuzhou_1,314.0,0.31528662420382164,0.5382165605095541,0.14331210191082802,0.0031847133757961785,23.0
D+3,2025-05,night,xuzhou_2,319.0,0.27586206896551724,0.49216300940438873,0.23197492163009403,0.0,32.0
D+3,2025-05,night,yancheng_1,317.0,0.24921135646687698,0.5772870662460567,0.17350157728706625,0.0,25.0
D+3,2025-05,night,yancheng_2,323.0,0.1826625386996904,0.5975232198142415,0.21671826625386997,0.0030959752321981426,39.0
D+3,2025-05,night,yancheng_3,323.0,0.1826625386996904,0.628482972136223,0.18885448916408668,0.0,30.0
D+3,2025-06,day,changzhou_1,444.0,0.05855855855855856,0.6779279279279279,0.2635135135135135,0.0,54.0
D+3,2025-06,day,huai_an_1,450.0,0.07777777777777778,0.6755555555555556,0.24444444444444444,0.0022222222222222222,56.0
D+3,2025-06,day,huai_an_2,450.0,0.10444444444444445,0.6288888888888889,0.2644444444444444,0.0022222222222222222,65.0
D+3,2025-06,day,huai_an_3,445.0,0.10337078651685393,0.6089887640449438,0.2853932584269663,0.0022471910112359553,63.0
D+3,2025-06,day,lianyungang_1,450.0,0.13111111111111112,0.5844444444444444,0.28444444444444444,0.0,63.0
D+3,2025-06,day,lianyungang_2,450.0,0.10444444444444445,0.6266666666666667,0.2688888888888889,0.0,58.0
D+3,2025-06,day,nanjing_1,420.0,0.08333333333333333,0.7023809523809523,0.21428571428571427,0.0,45.0
D+3,2025-06,day,nanjing_2,426.0,0.06103286384976526,0.6830985915492958,0.25586854460093894,0.0,58.0
D+3,2025-06,day,nantong_1,440.0,0.1,0.7022727272727273,0.19772727272727272,0.0,46.0
D+3,2025-06,day,nantong_2,432.0,0.08796296296296297,0.6921296296296297,0.2175925925925926,0.0023148148148148147,55.0
D+3,2025-06,day,suqian_1,447.0,0.10738255033557047,0.610738255033557,0.28187919463087246,0.0,67.0
D+3,2025-06,day,suzhou_1,437.0,0.07551487414187644,0.7368421052631579,0.18764302059496568,0.0,42.0
D+3,2025-06,day,taizhou_1,450.0,0.08666666666666667,0.6888888888888889,0.22444444444444445,0.0,49.0
D+3,2025-06,day,taizhou_2,448.0,0.07142857142857142,0.703125,0.22321428571428573,0.002232142857142857,53.0
D+3,2025-06,day,wuxi_1,442.0,0.06561085972850679,0.7194570135746606,0.2149321266968326,0.0,44.0
D+3,2025-06,day,xuzhou_1,420.0,0.14761904761904762,0.5928571428571429,0.25952380952380955,0.0,58.0
D+3,2025-06,day,xuzhou_2,436.0,0.1353211009174312,0.5756880733944955,0.286697247706422,0.0022935779816513763,58.0
D+3,2025-06,day,yancheng_1,450.0,0.1111111111111111,0.66,0.22666666666666666,0.0022222222222222222,53.0
D+3,2025-06,day,yancheng_2,450.0,0.07777777777777778,0.7333333333333333,0.18666666666666668,0.0022222222222222222,46.0
D+3,2025-06,day,yancheng_3,450.0,0.08888888888888889,0.7066666666666667,0.20444444444444446,0.0,48.0
D+3,2025-06,night,changzhou_1,276.0,0.07246376811594203,0.7355072463768116,0.19202898550724637,0.0,40.0
