outer_fold,inner_fold,group,repeat,score_rows,baseline_mean_pinball,mean_pinball,delta_vs_full
outer_4,inner_1,meteorology,0,420,14.21088714285713,18.33219449705652,4.12130735419939
outer_4,inner_1,meteorology,1,420,14.21088714285713,18.410815851696032,4.199928708838902
outer_4,inner_1,meteorology,2,420,14.21088714285713,18.747214223818077,4.536327080960946
outer_4,inner_1,solar_geometry,0,420,14.21088714285713,14.778580215228123,0.567693072370993
outer_4,inner_1,solar_geometry,1,420,14.21088714285713,14.702986138306292,0.4920989954491617
outer_4,inner_1,solar_geometry,2,420,14.21088714285713,14.621955272088037,0.4110681292309071
outer_4,inner_1,temporal_dynamics,0,420,14.21088714285713,15.062149754714582,0.851262611857452
outer_4,inner_1,temporal_dynamics,1,420,14.21088714285713,14.941216089188027,0.7303289463308964
outer_4,inner_1,temporal_dynamics,2,420,14.21088714285713,15.153420108731355,0.942532965874225
outer_4,inner_2,radiation,0,462,14.792278225868989,88.92922043397606,74.13694220810707
outer_4,inner_2,radiation,1,462,14.792278225868989,85.37475115036544,70.58247292449646
outer_4,inner_2,radiation,2,462,14.792278225868989,92.41804492880652,77.62576670293754
outer_4,inner_2,clear_sky_kt,0,462,14.792278225868989,19.251862668998587,4.459584443129598
outer_4,inner_2,clear_sky_kt,1,462,14.792278225868989,18.90857822506589,4.116299999196903
outer_4,inner_2,clear_sky_kt,2,462,14.792278225868989,19.421564686736282,4.629286460867293
outer_4,inner_2,cloud,0,462,14.792278225868989,15.775630915458544,0.9833526895895552
outer_4,inner_2,cloud,1,462,14.792278225868989,15.691896886708209,0.89961866083922
outer_4,inner_2,cloud,2,462,14.792278225868989,15.915272122986861,1.1229938971178726
outer_4,inner_2,meteorology,0,462,14.792278225868989,18.061321263712948,3.269043037843959
outer_4,inner_2,meteorology,1,462,14.792278225868989,19.487075875262207,4.694797649393218
outer_4,inner_2,meteorology,2,462,14.792278225868989,19.48909337231737,4.696815146448381
outer_4,inner_2,solar_geometry,0,462,14.792278225868989,15.309015510832195,0.5167372849632059
outer_4,inner_2,solar_geometry,1,462,14.792278225868989,15.168995625934048,0.3767174000650595
outer_4,inner_2,solar_geometry,2,462,14.792278225868989,15.25210869102828,0.4598304651592908
outer_4,inner_2,temporal_dynamics,0,462,14.792278225868989,15.91137917347908,1.1191009476100913
outer_4,inner_2,temporal_dynamics,1,462,14.792278225868989,16.151894169262285,1.3596159433932957
outer_4,inner_2,temporal_dynamics,2,462,14.792278225868989,15.785091297133247,0.9928130712642584
outer_4,inner_3,radiation,0,468,26.954932411983638,80.89537958946292,53.940447177479285
outer_4,inner_3,radiation,1,468,26.954932411983638,79.8259243855667,52.87099197358306
outer_4,inner_3,radiation,2,468,26.954932411983638,77.54645379266817,50.59152138068454
outer_4,inner_3,clear_sky_kt,0,468,26.954932411983638,28.239442112931375,1.284509700947737
outer_4,inner_3,clear_sky_kt,1,468,26.954932411983638,28.726414953128433,1.7714825411447954
outer_4,inner_3,clear_sky_kt,2,468,26.954932411983638,28.48177481611143,1.526842404127791
outer_4,inner_3,cloud,0,468,26.954932411983638,26.9293813713443,-0.025551040639339107
outer_4,inner_3,cloud,1,468,26.954932411983638,26.89827424018202,-0.056658171801618806
outer_4,inner_3,cloud,2,468,26.954932411983638,26.96636100628726,0.01142859430362364
outer_4,inner_3,meteorology,0,468,26.954932411983638,28.5749962623962,1.6200638504125635
outer_4,inner_3,meteorology,1,468,26.954932411983638,27.681354592339755,0.726422180356117
outer_4,inner_3,meteorology,2,468,26.954932411983638,27.52408892808034,0.5691565160967009
outer_4,inner_3,solar_geometry,0,468,26.954932411983638,27.418598154326475,0.46366574234283675
outer_4,inner_3,solar_geometry,1,468,26.954932411983638,27.396684031066783,0.44175161908314564
outer_4,inner_3,solar_geometry,2,468,26.954932411983638,26.98735041067002,0.03241799868638395
outer_4,inner_3,temporal_dynamics,0,468,26.954932411983638,27.487289327550563,0.5323569155669254
outer_4,inner_3,temporal_dynamics,1,468,26.954932411983638,27.252012931065654,0.2970805190820158
outer_4,inner_3,temporal_dynamics,2,468,26.954932411983638,27.752956322845066,0.7980239108614278
outer_5,inner_1,radiation,0,546,21.302092667115698,114.04568623258614,92.74359356547043
