outer_fold,inner_fold,group,score_rows,baseline_mean_pinball,mean_pinball,delta_vs_full
outer_4,inner_3,temporal_dynamics,468,26.954932411983638,27.498725868732848,0.54379345674921
outer_5,inner_1,radiation,546,21.302092667115698,22.177009100730427,0.8749164336147288
outer_5,inner_1,clear_sky_kt,546,21.302092667115698,21.24717470404573,-0.05491796306996832
outer_5,inner_1,cloud,546,21.302092667115698,21.823312171962407,0.5212195048467088
outer_5,inner_1,meteorology,546,21.302092667115698,22.272407420673325,0.9703147535576271
outer_5,inner_1,solar_geometry,546,21.302092667115698,21.451432255231005,0.149339588115307
outer_5,inner_1,temporal_dynamics,546,21.302092667115698,21.018635384479737,-0.28345728263596115
outer_5,inner_2,radiation,546,24.985831143681523,25.17027564591136,0.18444450222983733
outer_5,inner_2,clear_sky_kt,546,24.985831143681523,25.25181601886902,0.2659848751874989
outer_5,inner_2,cloud,546,24.985831143681523,25.5718539052161,0.5860227615345757
outer_5,inner_2,meteorology,546,24.985831143681523,25.081095973813525,0.09526483013200249
outer_5,inner_2,solar_geometry,546,24.985831143681523,25.368963602364488,0.3831324586829652
outer_5,inner_2,temporal_dynamics,546,24.985831143681523,25.13104521052646,0.14521406684493599
outer_5,inner_3,radiation,570,26.0905028191721,25.99495547566085,-0.09554734351125305
outer_5,inner_3,clear_sky_kt,570,26.0905028191721,26.74662449277235,0.65612167360025
outer_5,inner_3,cloud,570,26.0905028191721,26.374423479706714,0.28392066053461207
outer_5,inner_3,meteorology,570,26.0905028191721,25.941920439902265,-0.1485823792698362
outer_5,inner_3,solar_geometry,570,26.0905028191721,26.16432892820816,0.0738261090360588
outer_5,inner_3,temporal_dynamics,570,26.0905028191721,26.161748943277598,0.07124612410549602
